CanalID,Nombre,URL,Descripcion,Pais,FechaCreacion,Suscriptores,VistasTotales,CantidadVideos,CantidadVivosMes,PeriodicidadVivos_dias,FechaPrimerVivoMes,FechaUltimoVivoMes,MonetizacionAlternativa_desc,Links_desc,Plataformas_desc,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,"Pioneros en el Mundo del Streaming en Mendoza. FloydTV, es el primer Medio y estudio de streaming en la región, marcando el inicio de una era digital que ha revolucionado la manera en que nos conectamos con la audiencia.  Hemos sido testigos de la transformación del streaming  y nos enorgullece haber sido el cambio. Lo hemos hecho con pasión y dedicación. Nuestro compromiso nos ha llevado a ser reconocidos como los mejores en lo que hacemos, mirando más allá de los límites de la pantalla. 
Si deseás sumarte a esta revolución y tenés un contenido, proyecto, colaboración que deseas compartir con nuestra audiencia, te invitamos a llamarnos al 2612449792 . 
bienvenido a la comunidad FLOYDTV que evoluciona junto a vos. #StreamingRevolution
",AR,2018-05-31T20:34:05Z,26600,995061,1486,10,0.5555555555555556,2025-07-08T20:26:47Z,2025-07-16T20:33:44Z,No,,,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,"El PRIMER canal de streaming en Mendoza. 


PROGRAMACIÓN DIARIA EN VIVO  
De lunes a viernes de 11.00 a 14.00. 


Contacto Comercial: 
https://wa.me/5492615035445

",AR,2023-04-28T19:28:23.380002Z,8360,678751,2003,10,1.1111111111111112,2025-07-01T18:44:47Z,2025-07-16T15:22:11Z,No,https://wa.me/5492615035445,,
UC2Spl5nhZtU_c8w7amfOKqw,Goreme Media,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,"Canal de #streaming 🎧 - Mendoza, Argentina",AR,2012-01-30T22:07:35Z,7030,1466406,182,0,,,,No,,,
UCxtCp4e1pGevREzI4aCMjow,EL BÚNKER,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW,"Un refugio para fingir cordura ✌️
Todos los lunes de 19 a 21 h en vivo 
Somos @elbunkermza en todas las redes
",AR,2023-08-31T01:19:07.131715Z,865,49852,123,4,6.0,2025-06-24T12:41:35Z,2025-07-15T12:14:50Z,No,,,
UCKmXYozYivG-QniM45u0THA,MALBEC PLAY,https://youtube.com/@malbecplay?si=CJp8lB2RIvVn99L8,"🎧 STREAM DE PURA CEPA 🤙🏼 


",AR,2021-08-22T23:31:39.64852Z,552,30063,273,0,,,,No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E,"Nuestro canal de TV redefine la diversión con una mezcla única de creatividad y energía. Ofrecemos programación fresca y dinámica, desde series innovadoras hasta contenido interactivo, que captura el espíritu de la juventud y mantiene a nuestra audiencia siempre conectada con lo más actual.
",Argentina,2011-10-21T18:06:49Z,1370,104730,351,10,1.0,2025-07-04T03:31:36Z,2025-07-16T13:17:04Z,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Agencia Aluza,https://youtube.com/@agenciaaluza?si=tqe-doEcJA4LnwLn,Agencia de comunicación Audiovisual,AR,2020-12-30T06:10:27.350154Z,1800,33657,207,3,7.0,2025-06-25T00:45:51Z,2025-07-09T12:42:51Z,No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI,"💣BARDO EN VIVO💣 De Mendoza para el mundo. Hacer cosas en Argentina, en el rubro que sea... Es un Bardo !!
Vivir en Argentina es un Bardo. Por eso hicimos un canal donde cada Bardo tenga su lugar en el streaming. Se vienen cositas lindas para este 2025, estén atentxs.
 
",AR,2023-09-19T17:06:01.887384Z,4200,218766,384,10,0.4444444444444444,2025-07-09T09:18:34Z,2025-07-16T16:03:59Z,No,,,
UCBSWjvvdoYMkgdybOl1TafA,Gordivinos,https://youtube.com/@gordivinos?si=ZjBDS7cJsTDiYNYh,"Somos un canal de streaming donde no solo hablamos de obesidad, sino de superación.📲✨💪🏻
Todos los domingos a las 11hs por YouTube. 
Seguinos en nuestras redes sociales: 
- Instagram: @Gordivinos.ok
- Tiktok: @Gordivinos
- Facebook: Gordivinos
",Argentina,2025-02-26T00:44:27.989043Z,619,27649,29,5,6.5,2025-06-16T04:21:24Z,2025-07-14T04:40:37Z,No,,,
UCqRS6ieQfBmNRAmv0MFu5qA,Vorterix Mendoza,https://youtube.com/@vorterixmza?si=CIJKyzjoWUuHWfSK,,Argentina,2022-09-18T19:18:07.052601Z,714,82754,553,0,,,,No,,,
